38
53	1242	1	0	0
92	436	1	0	1
138	455	1	0	2
278	455	1	0	3
665	1231	1	0	4
703	1242	1	0	5
839	1242	1	0	6
850	1242	1	0	7
850	1242	1	0	8
1060	1242	1	0	2
1577	1817	1	0	9
2240	2305	1	0	10
2343	2658	1	0	11
2356	3638	1	0	12
2364	2472	1	0	13
2867	3638	1	0	0
2867	3638	1	0	5
2867	3638	1	0	8
2867	3638	1	0	9
2867	3638	1	0	10
2867	3638	1	0	11
2867	3638	1	0	13
2870	3391	1	0	2
2870	3638	1	0	6
2899	3638	1	0	3
2911	3094	1	0	7
3692	4451	1	0	14
5015	5991	1	0	6
5015	6053	1	0	3
5015	6053	1	0	5
5015	6053	1	0	9
5015	6053	1	0	10
5015	6053	1	0	11
5015	6053	1	0	12
5015	6053	1	0	13
5015	6053	1	0	14
5015	7570	1	0	8
5017	5096	1	0	0
